
== [2] mknap2 ==
instance         status          time(s)        nodes primal-dual-integral
mknap2_0         solved            3.523         5330              343.352
mknap2_1         solved            4.817         7313              220.475
mknap2_2         solved            0.037          240                3.101
mknap2_3         solved            0.033          185                2.850
mknap2_4         solved            0.056          326                4.592
mknap2_5         solved            0.022          116                1.368
mknap2_6         solved            0.015           77                1.238
mknap2_7         solved            0.017           88                1.651
mknap2_8         solved            0.044          133                1.085
mknap2_9         solved            0.727         2462               30.083
mknap2_10        solved            0.082          341                3.408
mknap2_11        solved            0.016           42                1.088
mknap2_12        solved            0.045          221                1.232
mknap2_13        solved            0.028          121                2.435
mknap2_14        solved            0.012           56                0.821
mknap2_15        solved            0.100          282                1.475
mknap2_16        solved            0.085          357                4.415
mknap2_17        solved            0.062          240                4.100
mknap2_18        solved            0.022           88                1.635
mknap2_19        solved            0.113          454                6.457
mknap2_20        solved            0.050          199                1.737
mknap2_21        solved            0.074          279                3.182
mknap2_22        solved            0.049          205                1.254
mknap2_23        solved            0.091          276                2.961
mknap2_24        solved            0.034          103                0.827
mknap2_25        solved            0.049          164                0.695
mknap2_26        solved            0.019           57                0.630
mknap2_27        solved            0.052          171                0.745
mknap2_28        solved            0.134          449                3.914
mknap2_29        solved            0.187          604               16.210
mknap2_30        solved            0.100          348                2.511
mknap2_31        solved            0.071          208                2.458
mknap2_32        solved            0.185          559               10.758
mknap2_33        solved            0.108          300                1.770
mknap2_34        solved            0.125          319                5.297
mknap2_35        solved            0.246          735                7.811
mknap2_36        solved            0.148          419                5.647
mknap2_37        solved            0.081          216                5.408
mknap2_38        solved            0.111          250                1.550
mknap2_39        solved            0.038           88                3.805
mknap2_40        solved            0.038          176                1.428
mknap2_41        solved            0.058          186                3.238
mknap2_42        solved            0.161          742                7.136
mknap2_43        solved            0.378         1617                5.491
mknap2_44        solved            0.958         1788               26.483
mknap2_45        solved            2.716         5367               72.964
mknap2_46        solved            0.033          163                2.114
mknap2_47        solved            0.094          421                1.094
--               geomean           0.123      298.410                3.592
